State_Code,State_Name,District ,District _Name,Tehsil_Code,Tehsil_Name,Block_Code,Naya Panchayat_Code,Village_Code,NAME,Level,AREA,RES_HOUSE,HOUSEHOLDS,T_POPLN,T_M_POPLN,T_F_POPLN,POPLN_M6,POPLN_F6,M_SC,F_SC,M_ST,F_ST,M_LITERATE,F_LITERATE,T_M_WORKER,T_F_WORKER,M_INDCAT1,F_INDCAT1,M_INDCAT2,F_INDCAT2,M_INDCAT3,F_INDCAT3,M_INDCAT4,F_INDCAT4,M_INDCAT5A,F_INDCAT5A,M_INDCAT5B,F_INDCAT5B,M_INDCAT6,F_INDCAT6,M_INDCAT7,F_INDCAT7,M_INDCAT8,F_INDCAT8,M_INDCAT9,F_INDCAT9,M_MARGINAL,F_MARGINAL,M_NON_WORK,F_NON_WORK
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0108,BHADERAN,Rural,2482.03,171,171,1225,638,587,183,154,175,158,0,0,145,13,311,138,267,127,34,11,1,0,0,0,0,0,0,0,0,0,3,0,4,0,2,0,0,0,327,449
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0109,PEEPERA,Rural,2170.45,321,327,2011,1098,913,268,219,242,222,13,10,409,81,553,50,344,40,76,2,2,0,0,0,0,0,4,0,70,3,14,0,13,1,30,4,0,136,545,727
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0110,BHOM MALKISAR,Rural,1285.41,66,66,382,213,169,59,31,56,44,0,0,41,4,130,107,130,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,83,60
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0111,MOHKAMPURA,Rural,2989.86,98,98,899,478,421,109,82,31,28,0,0,107,20,233,85,181,69,13,9,18,6,0,0,11,1,1,0,0,0,2,0,1,0,6,0,19,73,226,263
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0112,BEER SANGREU,Rural,539.75,60,60,308,169,139,30,37,48,51,0,0,69,12,98,0,87,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,4,68,67,71
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0113,MALKISAR,Rural,3445.64,248,248,1672,884,788,185,141,106,88,0,0,363,45,486,334,387,286,36,7,45,37,0,0,2,0,5,0,1,0,5,1,0,0,5,3,6,77,392,377
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0114,SUIN,Rural,9813.15,273,274,1884,1003,881,204,184,354,312,0,0,326,91,524,18,413,9,11,1,35,3,0,0,1,0,12,0,2,0,22,4,9,0,19,1,15,417,464,446
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0115,DULCHASAR,Rural,3537.06,85,85,555,294,261,62,66,74,56,0,0,107,28,150,60,144,60,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,67,144,134
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0116,BAKHOOSAR,Rural,2024.4,103,103,676,345,331,66,65,98,98,0,0,104,16,177,8,156,8,0,0,17,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,142,168,181
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0117,SHEKHSAR,Rural,9276.51,508,508,3636,1881,1755,420,396,340,296,0,0,661,117,928,522,732,438,10,4,84,62,0,0,2,0,23,5,1,0,27,6,11,0,38,7,21,331,932,902
